Email,Actual Output,Predicted Output of Model 1,Predicted Output of Model 2,Predicted Output of Model 3
buck troubles caused small dimension soon become lover woman able resist http whitedone com come even nazi tanks rolling streets dreamersphilosopher journalist still sure,1,Safe,Phishing,Safe
upgrade sex pleasures techniques brightmade com,1,Phishing,Phishing,Phishing
daily top cnn com top videos stories aug pm edt top videos montauk monster cnn com video partners email index html url video us moos montauk monster cnn devil dog turtle montauk monster cnn jeanne moos asks thing racy photos toddler mom cnn com video partners email index html url video crime ng racy photos cnn news absurd episode cnn com video partners email index html url video podcasts absurd site nota episode cnn police beating dispute cnn com video partners email index html url video us levs police video cnn mom pleads girl return cnn com video partners email index html url video crime hill boss reigh plea cnn defendant fakes heart attack cnn com video partners email index html url video crime dnt fake heart attack mxf whio killer carried victim head cnn com video partners email index html url video world natpkg bus decapitation ctv murder confession recanted cnn com video partners email index html url video world blake brazil teen murder itn anthrax suspect home cnn com video partners email index html url video us von dr bruce ivins home cnn hecklers interrupt obama talk cnn com video partners email index html url video politics sot fl obama protesters baynews top stories suspect beheading identified cnn com world americas canada beheading index html canadian police say vince weiguang li edmonton charged second degree murder beheading man bus judge taken last jena cases cnn com crime jena appeal index html people mag gets pitt jolie pix cnn com showbiz movies brangelina photos ap index html attack toronto called racial cnn com world americas canada attack ap index html ireporters unusual names cnn com living unusual names irpt index html mother pleads child return cnn com crime rockefeller kidnapping index html karadzic made deal u cnn com world europe karadzic trial index html suspect arrested swim killings cnn com crime wisconsin shooting ap index html anthrax suspect apparent suicide cnn com crime anthrax death index html mccain obama criticism fair cnn com politics campaign wrap index html cnn trusted name news cable news network lp lllp one cnn center atlanta georgia cable news network lp lllp time warner company rights reserved please send comments suggestions going cnn com feedback read privacy guidelines going cnn com privacy html agreed receive email cnn com result cnn com preference settings manage settings go cnn com linkto bn manage html unsubscribe daily top go http cgi cnn com clik e c f eb faf b c cde gvc ceas challenge cc l cnn dailytop,1,Phishing,Phishing,Phishing
would anyone object removing list tld basically dead found lots bogus domains like lib caught also sometimes spammers putting gibberish funny punctuation get sentences like blah blah also occurs couple domains far worst info domain read http en wikipedia org wiki domain name michael feb pm wrzzpv apache org wrote author sidney date thu feb new revision url http svn apache org viewvc rev view rev log bug correct tld lookup match current icann list add tlds regression tests modified spamassassin trunk lib mail spamassassin permsgstatus pm spamassassin trunk lib mail spamassassin util registrarboundaries pm spamassassin trunk uri text modified spamassassin trunk lib mail spamassassin permsgstatus pm url http svn apache org viewvc spamassassin trunk lib mail spamassassin permsgstatus pm rev r r view diff spamassassin trunk lib mail spamassassin permsgstatus pm original spamassassin trunk lib mail spamassassin permsgstatus pm thu feb regexps finding plain text non scheme hostnames valid tlds list valid tlds util registrarboundaries pm regexp optimize optimized regexp accurate regexp list optimized regexp accurate tldsre qr wyz e ro r pa cdfgilmnoqstuwzx b iz abdefghjmnorstvwyz c op acdfghiklmnrsu ejkmoz e ceghrst f ijkmor g abdefghilmnpqrstuwy ov h kmnrtu n fo delmoqrst j emop k eghimnprwyz l abcikrstuvy u seum acdghkmnopqrstvwxyz l n et cfgilopruz rg p ro aefghklmnstwy r eouw abcdeghijklmnortvyzu cdfghjklmnoprtvwz u agkmsyz v aceginu w fs xxx etu z amw ed u qa ix wyz e ro r pa ia cdfgilmnoqtuwxz b iz abdefghjmnorstvwyz c op cdfghiklmnruvxyz ejkmoz e cegrst u f ijkmor g abdefghilmnpqrstuwy ov h kmnrtu n fo delmoqrst j bs emp k eghimnprwyz l abcikrstuvy bi u seum acdeghkmnpqrstvwxyz l n et cfgilopruz rg p ro aefghklmnstwy r eosuw abcdeghijklmnortuvyz r avel cdfghjkmnoptvwz e l u agkmsyz v aceginu w fs etu z amw qa ix knownscheme regexp looks either https ftp scheme www ftp prefix e likely start url schemeless regexp looks valid tld end may fqdn followed optional optional portnum optional rest uri modified spamassassin trunk lib mail spamassassin util registrarboundaries pm url http svn apache org viewvc spamassassin trunk lib mail spamassassin util registrarboundaries pm rev r r view diff spamassassin trunk lib mail spamassassin util registrarboundaries pm original spamassassin trunk lib mail spamassassin util registrarboundaries pm thu feb list currently valid tlds dns system iana org cctld cctld whois htm su extra iana org root whois iana org gtld gtld htm iana org arpa dom http data iana org tld tlds alpha domain txt version last updated thu feb utc foreach qw ac ad ae af ag ai al ao aq ar au aw az ax ba bb bd bf bg bh bi bj bm bn bo br bs bt bv bw bz ca cc cd cf cg ch ci ck cl cm cn co cr cs cu cv cx cy cz de dj dk dm dz ec ee eg eh er es et fi fj fk fm fo fr ga gb gd ge gf gg gh gi gl gm gn gp gq gr gs gt gu gw gy hk hm hn hr ht hu id ie il im io iq ir je jm jo jp ke kg kh ki km kn kp kr kw ky kz la lb lc li lk lr ls lt lu lv ly mc md mg mh mk ml mm mn mo mp mq mr ms mt mu mv mw mx mz na nc ne nf ng ni nl np nr nu nz om pa pe pf pg ph pk pl pm pn pr ps pt pw py qa ro ru rw sa sb sc sd se sg sh si sj sk sl sm sn sr st sv sy sz tc td tf tg th tj tk tl tm tn tp tr tt tv tw tz ua ug uk um us uy uz va vc vg vi vn vu wf ws ye yt yu za zm zw su aero biz com coop info museum name net org pro gov edu mil int arpa eu jobs travel xxx mobi asia cat tel ac ad ae aero af ag ai al ao aq ar arpa asia au aw ax az ba bb bd bf bg bh bi biz bj bm bn bo br bs bt bv bw bz ca cat cc cd cf cg ch ci ck cl cm cn co com coop cr cu cv cx cy cz de dj dk dm dz ec edu ee eg er es et eu fi fj fk fm fo fr ga gb gd ge gf gg gh gi gl gm gn gov gp gq gr gs gt gu gw gy hk hm hn hr ht hu id ie il im info int io iq ir je jm jo jobs jp ke kg kh ki km kn kp kr kw ky kz la lb lc li lk lr ls lt lu lv ly mc md mg mh mil mk ml mm mn mo mobi mp mq mr ms mt mu museum mv mw mx mz na name nc ne net nf ng ni nl np nr nu nz om org pa pe pf pg ph pk pl pm pn pr pro ps pt pw py qa ro rs ru rw sa sb sc sd se sg sh si sj sk sl sm sn sr st su sv sy sz tc td tel tf tg th tj tk tl tm tn tp tr travel tt tv tw tz ua ug uk um us uy uz va vc vg vi vn vu wf ws ye yt yu za zm zw valid tlds modified spamassassin trunk uri text url http svn apache org viewvc spamassassin trunk uri text rev r r view diff spamassassin trunk uri text original spamassassin trunk uri text thu feb use vars qw patterns anti patterns settings plan tests plan tests initialize spamassassin sa create saobj dont copy prefs check tlds might well thorough first confirm fail tld example foo http example foo example xxx http example xxx example ac http example ac example ad http example ad example ae http example ae example aero http example aero example af http example af example ag http example ag example ai http example ai example al http example al example http example example http example example ao http example ao example aq http example aq example ar http example ar example arpa http example arpa example http example example asia http example asia example http example example au http example au example aw http example aw example ax http example ax example az http example az example ba http example ba example bb http example bb example bd http example bd example http example example bf http example bf example bg http example bg example bh http example bh example bi http example bi example biz http example biz example bj http example bj example bm http example bm example bn http example bn example bo http example bo example br http example br example bs http example bs example bt http example bt example bv http example bv example bw http example bw example http example example bz http example bz example ca http example ca example cat http example cat example cc http example cc example cd http example cd example cf http example cf example cg http example cg example ch http example ch example ci http example ci example ck http example ck example cl http example cl example cm http example cm example cn http example cn example co http example co example com http example com example coop http example coop example cr http example cr example cu http example cu example cv http example cv example cx http example cx example cy http example cy example cz http example cz example de http example de example dj http example dj example dk http example dk example dm http example dm example http example example dz http example dz example ec http example ec example edu http example edu example ee http example ee example eg http example eg example er http example er example es http example es example et http example et example eu http example eu example fi http example fi example fj http example fj example fk http example fk example fm http example fm example fo http example fo example fr http example fr example ga http example ga example gb http example gb example gd http example gd example ge http example ge example gf http example gf example gg http example gg example gh http example gh example gi http example gi example gl http example gl example gm http example gm example gn http example gn example gov http example gov example gp http example gp example gq http example gq example gr http example gr example gs http example gs example gt http example gt example gu http example gu example gw http example gw example gy http example gy example hk http example hk example hm http example hm example hn http example hn example hr http example hr example ht http example ht example hu http example hu example id http example id example ie http example ie example il http example il example im http example im example http example example info http example info example int http example int example io http example io example iq http example iq example ir http example ir example http example example http example example je http example je example jm http example jm example jo http example jo example jobs http example jobs example jp http example jp example ke http example ke example kg http example kg example kh http example kh example ki http example ki example km http example km example kn http example kn example kp http example kp example kr http example kr example kw http example kw example ky http example ky example kz http example kz example la http example la example lb http example lb example lc http example lc example li http example li example lk http example lk example lr http example lr example ls http example ls example lt http example lt example lu http example lu example lv http example lv example ly http example ly example http example example mc http example mc example md http example md example http example example mg http example mg example mh http example mh example mil http example mil example mk http example mk example ml http example ml example mm http example mm example mn http example mn example mo http example mo example mobi http example mobi example mp http example mp example mq http example mq example mr http example mr example ms http example ms example mt http example mt example mu http example mu example museum http example museum example mv http example mv example mw http example mw example mx http example mx example http example example mz http example mz example na http example na example name http example name example nc http example nc example ne http example ne example net http example net example nf http example nf example ng http example ng example ni http example ni example nl http example nl example http example example np http example np example nr http example nr example nu http example nu example nz http example nz example om http example om example org http example org example pa http example pa example pe http example pe example pf http example pf example pg http example pg example ph http example ph example pk http example pk example pl http example pl example pm http example pm example pn http example pn example pr http example pr example pro http example pro example ps http example ps example pt http example pt example pw http example pw example py http example py example qa http example qa example http example example ro http example ro example rs http example rs example ru http example ru example rw http example rw example sa http example sa example sb http example sb example sc http example sc example sd http example sd example se http example se example sg http example sg example sh http example sh example si http example si example sj http example sj example sk http example sk example sl http example sl example sm http example sm example sn http example sn example http example example sr http example sr example st http example st example su http example su example sv http example sv example sy http example sy example sz http example sz example tc http example tc example td http example td example tel http example tel example tf http example tf example tg http example tg example th http example th example tj http example tj example tk http example tk example tl http example tl example tm http example tm example tn http example tn example http example example tp http example tp example tr http example tr example travel http example travel example tt http example tt example tv http example tv example tw http example tw example tz http example tz example ua http example ua example ug http example ug example uk http example uk example um http example um example us http example us example uy http example uy example uz http example uz example va http example va example vc http example vc example http example example vg http example vg example vi http example vi example vn http example vn example vu http example vu example wf http example wf example ws http example ws example ye http example ye example yt http example yt example yu http example yu example za http example za example zm http example zm example zw http example zw www prefix tests different table tlds www example foo example foo www example xxx example xxx www example ac example ac www example ad example ad www example ae example ae www example aero example aero www example af example af www example ag example ag www example ai example ai www example ao example ao www example aq example aq www example ar example ar www example arpa example arpa www example example www example asia example asia www example example www example au example au www example aw example aw www example az example az www example ax example ax www example az example az www example ba example ba www example bb example bb www example bd example bd www example bg example bg www example bh example bh www example bi example bi www example biz example biz www example bj example bj www example bm example bm www example bn example bn www example example www example bz example bz www example ca example ca www example cat example cat www example cc example cc www example cd example cd www example cf example cf www example cm example cm www example cn example cn www example co example co www example com example com www example coop example coop www example cr example cr www example cs example cs www example cu example cu www example cv example cv www example cx example cx www example example www example dz example dz www example ec example ec www example edu example edu www example ee example ee www example eg example eg www example eh example eh www example er example er www example es example es www example et example et www example eu example eu www example fi example fi www example fj example fj www example fk example fk www example gl example gl www example gm example gm www example gn example gn www example gov example gov www example gp example gp www example gq example gq www example gr example gr www example il example il www example im example im www example example www example info example info www example int example int www example io example io www example iq example iq www example ir example ir www example je example je www example jm example jm www example jo example jo www example jobs example jobs www example jp example jp www example ke example ke www example kg example kg www example example www example mc example mc www example md example md www example example www example mg example mg www example mh example mh www example mil example mil www example mk example mk www example ml example ml www example mm example mm www example mn example mn www example mo example mo www example mobi example mobi www example mp example mp www example mq example mq www example mr example mr www example ms example ms www example mt example mt www example mu example mu www example museum example museum www example mv example mv www example mw example mw www example mx example mx www example example www example mz example mz www example na example na www example name example name www example nc example nc www example ne example ne www example net example net www example nf example nf www example ng example ng www example ni example ni www example nu example nu www example nz example nz www example om example om www example org example org www example pa example pa www example pe example pe www example pf example pf www example pm example pm www example pn example pn www example pr example pr www example pro example pro www example ps example ps www example pt example pt www example pw example pw www example qa example qa www example example www example ro example ro www example rs example rs www example ru example ru www example rw example rw www example sa example sa www example example www example sr example sr www example st example st www example su example su www example sv example sv www example sy example sy www example sz example sz www example tc example tc www example td example td www example tel example tel www example tf example tf www example tg example tg www example th example th www example example www example tp example tp www example tr example tr www example travel example travel www example tt example tt www example tv example tv www example tw example tw www example za example za www example zm example zm www example zw example zw www example su example su www example aero example aero www example biz example biz www example com example com www example coop example coop www example info example info www example museum example museum www example name example name www example net example net www example org example org www example pro example pro www example gov example gov www example edu example edu www example mil example mil www example int example int www example arpa example arpa www example eu example eu www example jobs example jobs www example travel example travel www example xxx example xxx www example mobi example mobi www example asia example asia www example cat example cat www example tel example tel,0,Safe,Safe,Safe
welcomefastshippingcustomersupport http iwfna blu livefilestore com pxdx kwzhba xhxv tdhbjhn tj vt yqg lb hs yudwmu woteqbo knuliisb qjjiug bnfnrnh yosw index html,1,Phishing,Phishing,Phishing
yo wu urs mo ou go rc ebo eform rgi orewo iyv ww en c mo l cfd ic eym k uys,1,Safe,Phishing,Safe
fake swiss men ladie replica watches rolex popular panerai watch information,1,Safe,Phishing,Phishing
daily top cnn com top videos stories aug pm edt top videos montauk monster cnn com video partners email index html url video us moos montauk monster cnn devil dog turtle montauk monster cnn jeanne moos asks thing racy photos toddler mom cnn com video partners email index html url video crime ng racy photos cnn news absurd episode cnn com video partners email index html url video podcasts absurd site nota episode cnn police beating dispute cnn com video partners email index html url video us levs police video cnn mom pleads girl return cnn com video partners email index html url video crime hill boss reigh plea cnn defendant fakes heart attack cnn com video partners email index html url video crime dnt fake heart attack mxf whio killer carried victim head cnn com video partners email index html url video world natpkg bus decapitation ctv murder confession recanted cnn com video partners email index html url video world blake brazil teen murder itn anthrax suspect home cnn com video partners email index html url video us von dr bruce ivins home cnn hecklers interrupt obama talk cnn com video partners email index html url video politics sot fl obama protesters baynews top stories suspect beheading identified cnn com world americas canada beheading index html canadian police say vince weiguang li edmonton charged second degree murder beheading man bus judge taken last jena cases cnn com crime jena appeal index html people mag gets pitt jolie pix cnn com showbiz movies brangelina photos ap index html attack toronto called racial cnn com world americas canada attack ap index html ireporters unusual names cnn com living unusual names irpt index html mother pleads child return cnn com crime rockefeller kidnapping index html karadzic made deal u cnn com world europe karadzic trial index html suspect arrested swim killings cnn com crime wisconsin shooting ap index html anthrax suspect apparent suicide cnn com crime anthrax death index html mccain obama criticism fair cnn com politics campaign wrap index html cnn trusted name news cable news network lp lllp one cnn center atlanta georgia cable news network lp lllp time warner company rights reserved please send comments suggestions going cnn com feedback read privacy guidelines going cnn com privacy html agreed receive email cnn com result cnn com preference settings manage settings go cnn com linkto bn manage html unsubscribe daily top go http cgi cnn com clik e da cc b ce c gvc ceas challenge cc l cnn dailytop,1,Phishing,Phishing,Phishing
http issues apache org spamassassin show bug cgi id wrzzpv sidney com changed removed added otherbugsdependingo nthis receiving mail assignee bug watching assignee,0,Safe,Safe,Safe
daily top cnn com top videos stories aug pm edt top videos montauk monster cnn com video partners email index html url video us moos montauk monster cnn devil dog turtle montauk monster cnn jeanne moos asks thing racy photos toddler mom cnn com video partners email index html url video crime ng racy photos cnn news absurd episode cnn com video partners email index html url video podcasts absurd site nota episode cnn police beating dispute cnn com video partners email index html url video us levs police video cnn mom pleads girl return cnn com video partners email index html url video crime hill boss reigh plea cnn defendant fakes heart attack cnn com video partners email index html url video crime dnt fake heart attack mxf whio killer carried victim head cnn com video partners email index html url video world natpkg bus decapitation ctv murder confession recanted cnn com video partners email index html url video world blake brazil teen murder itn anthrax suspect home cnn com video partners email index html url video us von dr bruce ivins home cnn hecklers interrupt obama talk cnn com video partners email index html url video politics sot fl obama protesters baynews top stories suspect beheading identified cnn com world americas canada beheading index html canadian police say vince weiguang li edmonton charged second degree murder beheading man bus judge taken last jena cases cnn com crime jena appeal index html people mag gets pitt jolie pix cnn com showbiz movies brangelina photos ap index html attack toronto called racial cnn com world americas canada attack ap index html ireporters unusual names cnn com living unusual names irpt index html mother pleads child return cnn com crime rockefeller kidnapping index html karadzic made deal u cnn com world europe karadzic trial index html suspect arrested swim killings cnn com crime wisconsin shooting ap index html anthrax suspect apparent suicide cnn com crime anthrax death index html mccain obama criticism fair cnn com politics campaign wrap index html cnn trusted name news cable news network lp lllp one cnn center atlanta georgia cable news network lp lllp time warner company rights reserved please send comments suggestions going cnn com feedback read privacy guidelines going cnn com privacy html agreed receive email cnn com result cnn com preference settings manage settings go cnn com linkto bn manage html unsubscribe daily top go http cgi cnn com clik e bbe e f e c ba gvc ceas challenge cc l cnn dailytop,1,Phishing,Phishing,Phishing
